device_hub_id,created_at,air_humidity_percent,soil_humidity_percent,celcius_grade_temperature,precipitation_detected
4D:69:20:31:4B:80,2024-11-10 13:13:46.829643,44.86710861287484,51.515707833574,27.852603887190753,0
4D:69:20:31:4B:80,2024-11-11 07:11:46.829643,96.38371679356138,34.048247736443315,34.801245921214544,1
3D:69:20:31:4B:79,2024-11-12 07:32:46.829643,87.36611646291408,10.450931661429005,26.687009827479102,0
1C:69:20:31:4B:78,2024-11-10 12:18:46.829643,72.88161867371855,31.432204402368882,24.967948624064473,1
1C:69:20:31:4B:78,2024-11-11 03:46:46.829643,89.41652398258506,11.502337988969039,16.991761945221565,1
2C:69:20:31:4B:78,2024-11-10 17:49:46.829643,78.63618253213032,29.797302360318564,29.09506669954401,0
2C:69:20:31:4B:78,2024-11-11 18:33:46.829643,44.4187076349745,50.78031266074032,18.06311598070954,1
1C:69:20:31:4B:78,2024-11-10 19:45:46.829643,68.40299097181584,48.75504486647266,34.49471640514891,0
3D:69:20:31:4B:79,2024-11-11 08:11:46.829643,80.2729344833239,24.805552986848717,31.65304140840979,1
2C:69:20:31:4B:78,2024-11-10 19:42:46.829643,71.65641780762252,15.680419405400583,17.222237901621607,1
2C:69:20:31:4B:78,2024-11-11 21:40:46.829643,88.61767160352774,23.51314455761618,18.33915973930444,1
3D:69:20:31:4B:79,2024-11-11 04:38:46.829643,73.98098020328439,26.50922082319709,32.4046741176646,0
2C:69:20:31:4B:78,2024-11-11 10:41:46.829643,89.67048757823287,18.990825577803808,30.365386350475823,0
5D:69:20:31:4B:81,2024-11-11 23:06:46.829643,47.540402388359205,13.5010468697946,27.143703903029728,0
3D:69:20:31:4B:79,2024-11-10 11:37:46.829643,92.69568774333538,16.266173239880153,32.364405979081724,0
2C:69:20:31:4B:78,2024-11-12 02:31:46.829643,65.59707922418025,13.043813883268859,22.370958998521168,1
4D:69:20:31:4B:80,2024-11-11 21:57:46.829643,67.07522725360877,33.12031598283146,28.27610969324074,1
1C:69:20:31:4B:78,2024-11-11 02:14:46.829643,69.69636177362675,30.25878191626086,29.401119640303364,1
2C:69:20:31:4B:78,2024-11-10 13:50:46.829643,83.81859187081957,44.72255623753815,24.913754680250896,0
5D:69:20:31:4B:81,2024-11-12 06:58:46.829643,83.65985178761215,13.421100644297203,19.620092127221078,0
2C:69:20:31:4B:78,2024-11-11 20:01:46.829643,76.44386831791519,17.07464068017104,32.118512707602974,0
2C:69:20:31:4B:78,2024-11-10 20:31:46.829643,84.39821763392715,35.358688250103555,25.257950479726397,1
3D:69:20:31:4B:79,2024-11-11 22:48:46.829643,75.80763836532435,45.31051601577579,22.683583935989454,0
5D:69:20:31:4B:81,2024-11-12 01:09:46.829643,59.534204113051295,17.04923892892047,18.48930599923441,0
2C:69:20:31:4B:78,2024-11-12 05:06:46.829643,74.91407965733578,58.00846355669322,19.3017620461206,1
2C:69:20:31:4B:78,2024-11-11 03:40:46.829643,82.65227641463446,25.75337216755196,33.62798343876658,1
5D:69:20:31:4B:81,2024-11-10 21:46:46.829643,51.52468997519257,57.70504850682027,31.50074134704624,0
3D:69:20:31:4B:79,2024-11-11 04:55:46.829643,77.57042764990314,14.08608305804723,20.65629064502275,0
1C:69:20:31:4B:78,2024-11-11 17:10:46.829643,86.43820362253294,12.704123439749818,28.315113088834856,1
5D:69:20:31:4B:81,2024-11-10 11:16:46.829643,76.02056866888041,27.52849609645676,24.550211208998284,1
