createdAt,air_humidity_percent,soil_humidity_percent,celcius_grade_temperature,precipitation_detected,nitrogen_mg_kg,phosphorus_mg_kg,potassium_mg_kg,altitude_masl,deviceHubId
2025-11-12T11:16:04.025Z,74.55433455433456,44.12698412698413,17.904761904761905,0,32.7,11.8,138.5,1450,hub_milagro_01
2025-11-12T11:18:03.203Z,74.74969474969475,44.175824175824175,18.021978021978022,0,0.0,11.7,138.4,1450,hub_milagro_01
2025-11-12T11:20:08.344Z,74.77411477411478,44.15140415140415,17.963369963369964,0,33.3,11.7,139.1,1450,hub_milagro_01
2025-11-12T11:22:12.633Z,74.993894993895,44.12698412698413,17.963369963369964,0,33.0,11.2,134.1,1450,hub_milagro_01
2025-11-12T11:24:15.373Z,75.06715506715507,44.224664224664224,17.963369963369964,0,31.9,12.1,139.0,1450,hub_milagro_01
2025-11-12T11:26:20.655Z,75.28693528693529,44.15140415140415,17.934065934065934,0,33.7,12.0,135.5,1450,hub_milagro_01
2025-11-12T11:28:24.322Z,75.36019536019536,44.224664224664224,18.021978021978022,0,32.7,11.5,136.5,1450,hub_milagro_01
2025-11-12T11:30:24.141Z,75.55555555555556,44.1025641025641,17.934065934065934,0,34.1,11.4,136.3,1450,hub_milagro_01
2025-11-12T11:32:24.566Z,75.65323565323565,44.224664224664224,17.934065934065934,0,32.0,12.1,101.3,1450,hub_milagro_01
2025-11-12T11:34:28.995Z,75.75091575091575,44.07814407814408,17.992673992673993,0,34.4,11.6,142.6,1450,hub_milagro_01
2025-11-12T11:36:30.000Z,75.77533577533578,44.07814407814408,18.05128205128205,0,34.7,12.2,145.3,1450,hub_milagro_01
2025-11-12T11:38:31.070Z,76.06837606837607,44.07814407814408,18.08058608058608,0,32.4,11.8,143.2,1450,hub_milagro_01
2025-11-12T11:40:35.205Z,76.16605616605617,44.175824175824175,18.08058608058608,0,33.3,12.2,142.9,1450,hub_milagro_01
2025-11-12T11:42:33.724Z,76.16605616605617,44.05372405372405,18.021978021978022,0,34.9,11.4,141.5,1450,hub_milagro_01
2025-11-12T11:44:35.803Z,76.31257631257631,44.05372405372405,18.10989010989011,0,32.7,11.8,144.1,1450,hub_milagro_01
2025-11-12T11:46:36.347Z,76.43467643467643,44.05372405372405,18.021978021978022,0,33.2,11.8,144.8,1450,hub_milagro_01
2025-11-12T11:48:38.051Z,76.67887667887669,44.02930402930403,18.168498168498168,0,35.6,12.3,149.8,1450,hub_milagro_01
