createdAt,air_humidity_percent,soil_humidity_percent,celcius_grade_temperature,precipitation_detected,nitrogen_mg_kg,phosphorus_mg_kg,potassium_mg_kg,altitude_masl,deviceHubId
2026-02-17T10:23:13.514Z,83.51648351648352,53.82173382173382,19.018315018315015,0,34.7,12.0,162.6,1450,hub_milagro_01
2026-02-17T10:25:17.795Z,83.66300366300366,53.74847374847375,19.194139194139197,0,35.0,6.7,162.7,1450,hub_milagro_01
2026-02-17T10:27:15.912Z,83.76068376068376,53.772893772893774,19.164835164835168,0,34.4,11.9,162.9,1450,hub_milagro_01
2026-02-17T10:29:16.763Z,83.80952380952381,53.82173382173382,19.252747252747255,0,34.1,12.0,162.7,1450,hub_milagro_01
2026-02-17T10:31:19.733Z,83.95604395604396,53.82173382173382,19.311355311355314,0,35.0,12.0,162.7,1450,hub_milagro_01
2026-02-17T10:33:20.119Z,84.07814407814408,53.7973137973138,19.42857142857143,0,34.5,11.9,163.8,1450,hub_milagro_01
2026-02-17T10:35:25.490Z,84.15140415140415,53.74847374847375,19.45787545787546,0,34.5,12.0,164.0,1450,hub_milagro_01
2026-02-17T10:37:27.734Z,84.24908424908425,53.724053724053725,19.48717948717949,0,35.4,12.2,161.9,1450,hub_milagro_01
2026-02-17T10:39:32.558Z,84.42002442002442,53.82173382173382,19.516483516483518,0,34.1,12.0,162.1,1450,hub_milagro_01
2026-02-17T10:41:31.851Z,84.51770451770452,53.82173382173382,19.633699633699635,0,34.6,12.0,162.5,1450,hub_milagro_01
2026-02-17T10:43:34.477Z,84.63980463980464,53.724053724053725,19.663003663003664,0,33.8,12.0,164.9,1450,hub_milagro_01
2026-02-17T10:45:33.705Z,84.71306471306471,53.724053724053725,19.692307692307693,0,35.3,12.1,163.5,1450,hub_milagro_01
2026-02-17T10:47:32.272Z,84.81074481074481,53.724053724053725,19.721611721611723,0,34.2,12.0,0.0,1450,hub_milagro_01
2026-02-17T10:49:34.954Z,84.88400488400488,53.6996336996337,19.78021978021978,0,34.6,12.1,162.8,1450,hub_milagro_01
2026-02-17T10:51:37.650Z,85.05494505494505,53.7973137973138,19.926739926739927,0,34.6,12.1,163.5,1450,hub_milagro_01
2026-02-17T10:53:39.134Z,85.1037851037851,53.6996336996337,19.985347985347985,0,33.9,12.0,165.3,1450,hub_milagro_01
2026-02-17T10:55:42.600Z,85.25030525030525,53.724053724053725,19.956043956043956,0,34.3,12.1,162.6,1450,hub_milagro_01
